Date,"User acquisition (All users, All events, Per interval, Daily): All countries / regions","User acquisition (All users, All events, Per interval, Daily): United States","User acquisition (All users, All events, Per interval, Daily): India","User acquisition (All users, All events, Per interval, Daily): Australia",Notes
"Aug 11, 2020",1,1,0,0,
"Aug 12, 2020",1,1,0,0,
"Aug 13, 2020",3,3,0,0,
"Aug 14, 2020",1,1,0,0,
"Aug 15, 2020",4,4,0,0,
"Aug 16, 2020",4,4,0,0,
"Aug 17, 2020",3,3,0,0,
"Aug 18, 2020",2,2,0,0,
"Aug 19, 2020",0,0,0,0,
"Aug 20, 2020",1,1,0,0,
"Aug 21, 2020",0,0,0,0,
"Aug 22, 2020",1,1,0,0,
"Aug 23, 2020",3,3,0,0,
"Aug 24, 2020",1,1,0,0,
"Aug 25, 2020",1,1,0,0,
"Aug 26, 2020",0,0,0,0,
"Aug 27, 2020",1,1,0,0,
"Aug 28, 2020",0,0,0,0,
"Aug 29, 2020",0,0,0,0,
"Aug 30, 2020",1,1,0,0,
"Aug 31, 2020",1,1,0,0,
"Sep 1, 2020",3,3,0,0,
"Sep 2, 2020",0,0,0,0,
"Sep 3, 2020",1,1,0,0,
"Sep 4, 2020",3,3,0,0,
"Sep 5, 2020",1,1,0,0,
"Sep 6, 2020",1,1,0,0,
"Sep 7, 2020",0,0,0,0,
"Sep 8, 2020",0,0,0,0,
"Sep 9, 2020",2,2,0,0,
"Sep 10, 2020",2,2,0,0,
"Sep 11, 2020",1,1,0,0,
"Sep 12, 2020",5,5,0,0,
"Sep 13, 2020",2,2,0,0,
"Sep 14, 2020",3,3,0,0,
"Sep 15, 2020",0,0,0,0,
"Sep 16, 2020",1,1,0,0,
"Sep 17, 2020",1,1,0,0,
"Sep 18, 2020",1,1,0,0,
"Sep 19, 2020",0,0,0,0,
"Sep 20, 2020",7,7,0,0,
"Sep 21, 2020",1,1,0,0,
"Sep 22, 2020",3,2,0,0,
"Sep 23, 2020",0,0,0,0,
"Sep 24, 2020",2,1,0,0,
"Sep 25, 2020",2,2,0,0,
"Sep 26, 2020",0,0,0,0,
"Sep 27, 2020",2,2,0,0,
"Sep 28, 2020",7,7,0,0,
"Sep 29, 2020",2,2,0,0,
"Sep 30, 2020",5,5,0,0,
"Oct 1, 2020",1,1,0,0,
"Oct 2, 2020",1,1,0,0,
"Oct 3, 2020",2,2,0,0,
"Oct 4, 2020",0,0,0,0,
"Oct 5, 2020",11,11,0,0,
"Oct 6, 2020",3,3,0,0,Metric update: Data reconciliation on this date may result in a one-off increase in reported uninstalls.
"Oct 7, 2020",4,4,0,0,
"Oct 8, 2020",5,5,0,0,
"Oct 9, 2020",2,2,0,0,
"Oct 10, 2020",2,1,1,0,
"Oct 11, 2020",2,2,0,0,
"Oct 12, 2020",4,4,0,0,
"Oct 13, 2020",6,4,1,0,
"Oct 14, 2020",2,1,1,0,
"Oct 15, 2020",1,1,0,0,
"Oct 16, 2020",5,5,0,0,
"Oct 17, 2020",2,2,0,0,
"Oct 18, 2020",0,0,0,0,
"Oct 19, 2020",2,2,0,0,
"Oct 20, 2020",2,2,0,0,
"Oct 21, 2020",3,3,0,0,
"Oct 22, 2020",4,4,0,0,
"Oct 23, 2020",6,6,0,0,
"Oct 24, 2020",9,9,0,0,Metric update: An issue with data may result in over-reporting installs for this period. This did not affect your actual install performance.
"Oct 25, 2020",1,1,0,0,
"Oct 26, 2020",1,1,0,0,
"Oct 27, 2020",10,10,0,0,Metric update: An issue with data may result in over-reporting installs for this period. This did not affect your actual install performance.
"Oct 28, 2020",2,2,0,0,
"Oct 29, 2020",0,0,0,0,
"Oct 30, 2020",0,0,0,0,
"Oct 31, 2020",2,2,0,0,
"Nov 1, 2020",1,1,0,0,
"Nov 2, 2020",1,1,0,0,
"Nov 3, 2020",3,3,0,0,
"Nov 4, 2020",1,1,0,0,
"Nov 5, 2020",0,0,0,0,
"Nov 6, 2020",4,4,0,0,
"Nov 7, 2020",1,0,0,0,
"Nov 8, 2020",0,0,0,0,
"Nov 9, 2020",4,4,0,0,
"Nov 10, 2020",1,1,0,0,
"Nov 11, 2020",0,0,0,0,
"Nov 12, 2020",2,2,0,0,
"Nov 13, 2020",4,4,0,0,Metric update: An issue with data may result in over-reporting installs for this period. This did not affect your actual install performance.
"Nov 14, 2020",1,1,0,0,
"Nov 15, 2020",2,2,0,0,
"Nov 16, 2020",1,1,0,0,
"Nov 17, 2020",2,2,0,0,
"Nov 18, 2020",1,1,0,0,
"Nov 19, 2020",0,0,0,0,
"Nov 20, 2020",3,3,0,0,
"Nov 21, 2020",2,1,1,0,
"Nov 22, 2020",2,2,0,0,
"Nov 23, 2020",3,3,0,0,
"Nov 24, 2020",3,3,0,0,
"Nov 25, 2020",1,1,0,0,
"Nov 26, 2020",1,1,0,0,
"Nov 27, 2020",1,1,0,0,
"Nov 28, 2020",1,1,0,0,
"Nov 29, 2020",0,0,0,0,
"Nov 30, 2020",1,1,0,0,
"Dec 1, 2020",1,1,0,0,
"Dec 2, 2020",0,0,0,0,
"Dec 3, 2020",1,1,0,0,
"Dec 4, 2020",1,1,0,0,
"Dec 5, 2020",0,0,0,0,
"Dec 6, 2020",1,1,0,0,
"Dec 7, 2020",0,0,0,0,
